citation,sentence
5D_211/2016 E. 1,dass somit auf die - offensichtlich unzulässige bzw. keine hinreichende Begründung enthaltende - Verfassungsbeschwerde in Anwendung von Art. 117 i.V.m. Art. 108 Abs. 1 lit. a und b BGG nicht einzutreten ist
5D_211/2016 E. 1,dass dem Beschwerdeführer die (zumindest sinngemäss beantragte) unentgeltliche Rechtspflege in Anbetracht der Aussichtslosigkeit der Verfassungsbeschwerde nicht gewährt werden kann (Art. 64 Abs. 1 BGG)
5D_211/2016 E. 1,dass der unterliegende Beschwerdeführer kostenpflichtig wird (Art. 66 Abs. 1 BGG)
5D_211/2016 E. 1,dass in den Fällen des Art. 117 i.V.m. Art. 108 Abs. 1 BGG das vereinfachte Verfahren zum Zuge kommt und das präsidierende Abteilungsmitglied zuständig ist
1C_139/2017 E. 6.4,Art. 25a RPG wurde nach dem Gesagten nicht verletzt.
4A_202/2023 E. 2.2,Auf die Beschwerde ist somit mangels hinreichender Begründung nicht einzutreten (Art. 108 Abs. 1 lit. b BGG).
2C_130/2023 E. 2.3,"Damit gelingt es ihr nicht substanziiert darzutun, dass und inwiefern die Vorinstanz das massgebende kantonale Recht willkürlich angewendet oder sonstwie Bundes (verfassungs) recht verletzt habe, indem sie das Vorliegen eines aktuellen Interesses an der Behandlung ihrer Beschwerde verneint hat (vgl. E. 2.1 hiervor)."
2C_130/2023 E. 2.3,"Soweit sie ferner die Verletzung verschiedener Verfahrensrechte und EMRK-Garantien (Art. 29a, 30 und 32 BV sowie Art. 5, 6, 7 und 13 EMRK) rügt, weil das Verwaltungsgericht ihre Beschwerde nicht zwecks Verbesserung zurückgewiesen habe, genügen ihre Ausführungen den qualifizierten Anforderungen an die Begründung von Verfassungsrügen nicht (vgl. E. 2.1 hiervor)."
5A_900/2021 E. 3.3.1,"Sodann ist zu beachten, dass es nach der Ausschlussklausel von Art. 1 Abs. 2 lit. b LugÜ (oben E. 3.2) nicht in erster Linie auf die formelle Einordnung eines bestimmten Rechtsbehelfs in einem insolvenzrechtlichen Erlass ankommen kann."
5A_900/2021 E. 3.3.1,"Selbst wenn die vom Beschwerdeführer genannten Art. 169 i.V.m. Art. 172 des Gesetzes Nr. 85/2014 im von ihm genannten Sinne angewendet worden wären und sich in einem insolvenzrechtlichen Erlass finden sollten, kann daraus demnach noch nichts Zwingendes für die Anwendbarkeit der Ausschlussklausel von Art. 1 Abs. 2 lit. b LugÜ abgeleitet werden."
